0,1,2,3,4,5,6,7,8,9
poll, president, vote, new, voter, election, state, democratic, convention, candidate
medium, like, lie, people, say, know, make, think, post, right
people, amp, like, vote, say, think, president, good, make, country
israel, war, ukraine, president, administration, say, gaza, support, russia, genocide
president, covid, bad, press, say, attempt, putin, conference, know, make
border, illegal, inflation, tax, pay, bidenharris, year, administration, price, money
debate, say, president, news, watch, interview, rt, time, step, question
thank, follow, america, good, patriot, great, day, god, love, president
vote, election, court, president, hunter, rt, ballot, supreme, say, judge
vote, like, say, people, think, know, woman, man, want, black
